row,signal,direction,description,voltage,recommendation,diff_pairs,se_pins,connector
3,OCP Signal  name,Mezz Module Direction POV,OCP Signal Description,Voltage,OAM Baseboard implemention Recommendation,Total Diff Pair,Total SE pins,Conn0 or 1
4,P48V,Power Input,44V-59.5V main voltage for high power applications. Up to 700W when Vin=>44V. Module should be able to operate at 40V to 44V but at lower power.,44V-59.5V,Required for 48V based OAM. System should trigger power brake or power reduction to throttle OAMs when Vin <44v.,,16,Conn0
5,P12V1,Power Input,12V mandatory Board Infrastructure Power. Up to 50W,12V,Required,,5,Conn0
6,P12V2,Power Input,"12V main Power for low power applications. Up to 300W. For 12V motherboard/module designs, P12V1 and P12V2 can be shorted together for up to 350W  combined power",12V,Required for P12V based OAM,,27,Conn0
7,P3V3,Power Input,3.3V Main Power. Up to 5W,3.3V,Required,,2,Conn0
8,PVREF,Power Output,Low voltage output for GPU/ASIC sideband I/O reference on motherboard components.  Module should provision maximum 0.5A to be provided to motherboard. Vref  can be any value between 1.5V to 3.3V set as per GPU/ASIC sideband I/O voltage. Each OAM supplier will specify the actual Vref. ,Vref,Required,,2,Conn0
9,PETp/n [15:0],Output,"PCIe or equivalent host link Transmit differential pairs. Module Transmit, Host Receive. Note: AC coupling caps must be placed on the motherboard side. ",,Required,16,,Conn0
10,PERp/n [15:0],Input,"PCIe or equivalent host link Receive differential pairs. Module Receive, Host Transmit. Note: AC coupling caps must be placed on the motherboard side. ",,Required,16,,Conn0
11,SERDES_1Tp/n [15:0],Output,SerDes link 1 Transmit differential pairs. AC caps must be placed on Module/die (if required),,Required,16,,Conn0
12,SERDES_1Rp/n [15:0],Input,SerDes link 1 Receive differential pairs.,,Required,16,,Conn0
13,SERDES_2Tp/n [15:0],Output,SerDes link 2 Transmit differential pairs. AC caps must be placed on Module/die (if required),,Required,16,,Conn0
14,SERDES_2Rp/n [15:0],Input,SerDes link 2 Receive differential pairs.,,Required,16,,Conn0
15,SERDES_3Tp/n[15:0],Output,SerDes link 3 Transmit differential pairs. AC caps must be placed on Module/die (if required),,Required,16,,Conn0
16,SERDES_3Rp/n [15:0],Input,SerDes link 3 Receive differential pairs. ,,Required,16,,Conn0
17,SERDES_4Tp/n[15:0],Output,SerDes link 4Transmit differential pairs. AC caps must be placed on Module/die (if required),,Required,16,,Conn1
18,SERDES_4Rp/n [15:0],Input,SerDes link 4 Receive differential pairs.,,Required,16,,Conn1
19,SERDES_5Tp/n [15:0],Output,SerDes link 5 Transmit differential pairs. AC caps must be placed on Module/die (if required),,Required,16,,Conn1
20,SERDES_5Rp/n [15:0],Input,SerDes link 5 Receive differential pairs.,,Required,16,,Conn1
21,SERDES_6Tp/n [15:0],Output,SerDes link 6 Transmit differential pairs. AC caps must be placed on Module/die (if required),,Required,16,,Conn1
22,SERDES_6Rp/n [15:0],Input,SerDes link 6 Receive differential pairs.,,Required,16,,Conn1
23,SERDES_7Tp/n [15:0],Output,SerDes Reserved Link Transmit differential pairs. Interconnect requirements defined by Module and System integrator. AC caps must be placed on the Motherboard (if Required),,Required,16,,Conn1
24,SERDES_7Rp/n [15:0],Input,SerDes Reserved Link Receive differential pairs. Interconnect requirements defined by Module and System integrator. AC caps must be placed on the Motherboard (if Required),,Required,16,,Conn1
25,PE_REFCLKp/n,Input,PCIe Reference Clock. 100MHz PCIe Gen 5 compliant. ,,Required,1,,Conn0
26,AUX_100M_REFCLKp/n,Input, 100MHz PCIe Gen 5 compliant Auxiliary Reference Clock.,,Required,1,,Conn1
27,AUX_156M_REFCLKp/n,Input,156.25MHz Auxiliary Reference Clock ,,Required. Check with OAM product specification for compliance requirement.,1,,Conn1
28,DWN_REFCLKp/n,Output,Downstream Reference Clock. Vendor specific.,,NC if not used,1,,Conn1
29,PERST#,Input,CEM Compliant PCIe Reset,3.3V,Required,,1,Conn0
30,WARMRST#,Input,Warm Reset,Vref,NC for standard PCIe based system. Connect to Warmrst# from host for non-PCIe standard.,,1,Conn0
31,DWN_PERST#,Output,Down device PCIe Reset. Vendor specific.,3.3V,NC if no down stream from OAM.,,1,Conn1
32,HOST_PWRGD,Input,"Host power good. Active high when P48V, P12V1/P12V2, P3V3 voltages are stable and within specifications. This is considered the “Power Enable” signal for the module.",3.3V,Required,,1,Conn0
33,MODULE_PWRGD,Output,Module power good. Active high when the module has completed its own power up sequence and is ready for PERST# de-assertion,3.3V,Required,,1,Conn0
34,PWRBRK#,Input,Emergency power reduction. CEM Compliant Power Break,3.3V,Required,,1,Conn0
35,PWRRDT#[1:0],Input,"Power Reduction GPIO to instruct Oam to go certain stage to reduce power
11 - default state L0, normal power
10 - L1, 1st level power reduction. 
01 - L2, 2nd level power reduction. 
00 - L3, max power reduction. 
Details defined by specific OAM product specification. ",3.3V,Required,,2,Conn1
36,THERMTRIP#,Output,Catastrophic thermal event for module components. Active low and latched by the Module logic. Released until motherboard power cycles the module input voltages,3.3V,Required,,1,Conn1
37,MODULE_ID[4:0],Input,"Module node identifier (e.g. Module #0, #1,…#n). Module has weak PU to drive to 1 by default. ",,"Required.  Tied to GND through 1K resistor on baseboard for logic 0, leave open for logic 1",,5,Conn0
38,LINK_CONFIG[4:0],Input,Mezz Module Host Interface/SerDes Link Configuration and topology. See link config table for details. Module has weak PU to Vref to drive high by default. ,,"Required. Tied to GND through 1K resistor on baseboard for logic 0, leave open for logic 1",,5,Conn1
39,PE_BIF[1:0],Output,"x16 Host Interface Bifurcation Configuration. 
00 = one x16 PCIe host interface
01 = bifurcation into two x8 PCIe host interfaces
10 = bifurcation into four x4 PCIe host interfaces
11 = reserved
Vref based when drive to high. ",,Required. Add level shift. ,,2,Conn1
40,PLINK_CAP,Output,"""P"" Port Module Capability support:
 '0' = PCIe only support
'1' = Alternate protocol supported
The host system requests an alternate host link protocol by pulling up LINK_CONFIG[0] and the Module informs the system of protocol support on the ""P"" link via this pin. If the module only supports PCIe as host, this signal is PD on the module.",Vref,Required. Add level shift. ,,1,Conn1
41,SMBus_SLV_D,Bi-directional,Slave SMBus data. ,3.3V,Required. PU on baseboard and connect to BMC,,1,Conn0
