connector,pin,col,row,signal
Conn0,C1,C,1,P3V3
Conn0,D1,D,1,PERST#
Conn0,E1,E,1,GND
Conn0,F1,F,1,RFU
Conn0,G1,G,1,PVREF
Conn0,H1,H,1,HOST_PWRGD
Conn0,J1,J,1,GND
Conn0,C2,C,2,P3V3
Conn0,D2,D,2,WARMRST#
Conn0,E2,E,2,GND
Conn0,F2,F,2,RFU
Conn0,G2,G,2,PVREF
Conn0,H2,H,2,MODULE_PWRGD
Conn0,J2,J,2,GND
Conn0,A3,A,3,MANF_MODE#
Conn0,B3,B,3,GND
Conn0,C3,C,3,PWRBRK#
Conn0,D3,D,3,GND
Conn0,E3,E,3,UART_TXD
Conn0,F3,F,3,GND
Conn0,G3,G,3,I2C_D
Conn0,H3,H,3,GND
Conn0,J3,J,3,SMBus_SLV_CLK
Conn0,K3,K,3,GND
Conn0,L3,L,3,SMBus_SLV_D
Conn0,A4,A,4,FW_RECOVERY#
Conn0,B4,B,4,GND
Conn0,C4,C,4,TEST_MODE#
Conn0,D4,D,4,GND
Conn0,E4,E,4,UART_RXD
Conn0,F4,F,4,GND
Conn0,G4,G,4,I2C _CLK
Conn0,H4,H,4,GND
Conn0,J4,J,4,PRSNT0#
Conn0,K4,K,4,GND
Conn0,L4,L,4,SLV_ALERT#
Conn0,A5,A,5,GND
Conn0,B5,B,5,S1_RX15P
Conn0,C5,C,5,GND
Conn0,D5,D,5,S1_RX7P
Conn0,E5,E,5,GND
Conn0,F5,F,5,RFU
Conn0,G5,G,5,GND
Conn0,H5,H,5,S1_TX15P
Conn0,J5,J,5,GND
Conn0,K5,K,5,S1_TX7P
Conn0,L5,L,5,GND
Conn0,A6,A,6,GND
Conn0,B6,B,6,S1_RX15N
Conn0,C6,C,6,GND
Conn0,D6,D,6,S1_RX7N
Conn0,E6,E,6,GND
Conn0,F6,F,6,MODULE_ID[4]
Conn0,G6,G,6,GND
Conn0,H6,H,6,S1_TX15N
Conn0,J6,J,6,GND
Conn0,K6,K,6,S1_TX7N
Conn0,L6,L,6,GND
Conn0,A7,A,7,S1_RX13P
Conn0,B7,B,7,GND
Conn0,C7,C,7,S1_RX14P
Conn0,D7,D,7,GND
Conn0,E7,E,7,S1_RX6P
Conn0,F7,F,7,GND
Conn0,G7,G,7,S1_TX13P
Conn0,H7,H,7,GND
Conn0,J7,J,7,S1_TX14P
Conn0,K7,K,7,GND
Conn0,L7,L,7,S1_TX6P
Conn0,A8,A,8,S1_RX13N
Conn0,B8,B,8,GND
Conn0,C8,C,8,S1_RX14N
Conn0,D8,D,8,GND
Conn0,E8,E,8,S1_RX6N
Conn0,F8,F,8,GND
Conn0,G8,G,8,S1_TX13N
Conn0,H8,H,8,GND
Conn0,J8,J,8,S1_TX14N
Conn0,K8,K,8,GND
Conn0,L8,L,8,S1_TX6N
Conn0,A9,A,9,GND
Conn0,B9,B,9,S1_RX12P
Conn0,C9,C,9,GND
Conn0,D9,D,9,S1_RX5P
Conn0,E9,E,9,GND
Conn0,F9,F,9,MODULE_ID[3]
Conn0,G9,G,9,GND
Conn0,H9,H,9,S1_TX12P
Conn0,J9,J,9,GND
Conn0,K9,K,9,S1_TX5P
Conn0,L9,L,9,GND
Conn0,A10,A,10,GND
Conn0,B10,B,10,S1_RX12N
Conn0,C10,C,10,GND
Conn0,D10,D,10,S1_RX5N
Conn0,E10,E,10,GND
Conn0,F10,F,10,MODULE_ID[2]
Conn0,G10,G,10,GND
Conn0,H10,H,10,S1_TX12N
Conn0,J10,J,10,GND
Conn0,K10,K,10,S1_TX5N
Conn0,L10,L,10,GND
Conn0,A11,A,11,S1_RX10P
Conn0,B11,B,11,GND
Conn0,C11,C,11,S1_RX11P
Conn0,D11,D,11,GND
Conn0,E11,E,11,S1_RX4P
Conn0,F11,F,11,GND
Conn0,G11,G,11,S1_TX10P
Conn0,H11,H,11,GND
Conn0,J11,J,11,S1_TX11P
Conn0,K11,K,11,GND
Conn0,L11,L,11,S1_TX4P
Conn0,A12,A,12,S1_RX10N
Conn0,B12,B,12,GND
Conn0,C12,C,12,S1_RX11N
Conn0,D12,D,12,GND
Conn0,E12,E,12,S1_RX4N
Conn0,F12,F,12,GND
Conn0,G12,G,12,S1_TX10N
Conn0,H12,H,12,GND
Conn0,J12,J,12,S1_TX11N
Conn0,K12,K,12,GND
Conn0,L12,L,12,S1_TX4N
Conn0,A13,A,13,GND
Conn0,B13,B,13,S1_RX9P
Conn0,C13,C,13,GND
Conn0,D13,D,13,S1_RX3P
Conn0,E13,E,13,GND
Conn0,F13,F,13,MODULE_ID[1]
Conn0,G13,G,13,GND
Conn0,H13,H,13,S1_TX9P
Conn0,J13,J,13,GND
Conn0,K13,K,13,S1_TX3P
Conn0,L13,L,13,GND
Conn0,A14,A,14,GND
Conn0,B14,B,14,S1_RX9N
Conn0,C14,C,14,GND
Conn0,D14,D,14,S1_RX3N
Conn0,E14,E,14,GND
Conn0,F14,F,14,MODULE_ID[0]
Conn0,G14,G,14,GND
Conn0,H14,H,14,S1_TX9N
Conn0,J14,J,14,GND
Conn0,K14,K,14,S1_TX3N
Conn0,L14,L,14,GND
Conn0,A15,A,15,S1_RX8P
Conn0,B15,B,15,GND
Conn0,C15,C,15,S1_RX1P
Conn0,D15,D,15,GND
Conn0,E15,E,15,S1_RX2P
Conn0,F15,F,15,GND
Conn0,G15,G,15,S1_TX8P
Conn0,H15,H,15,GND
Conn0,J15,J,15,S1_TX1P
Conn0,K15,K,15,GND
Conn0,L15,L,15,S1_TX2P
Conn0,A16,A,16,S1_RX8N
Conn0,B16,B,16,GND
Conn0,C16,C,16,S1_RX1N
Conn0,D16,D,16,GND
Conn0,E16,E,16,S1_RX2N
Conn0,F16,F,16,GND
Conn0,G16,G,16,S1_TX8N
Conn0,H16,H,16,GND
Conn0,J16,J,16,S1_TX1N
Conn0,K16,K,16,GND
Conn0,L16,L,16,S1_TX2N
Conn0,A17,A,17,GND
Conn0,B17,B,17,S2_RX15P
Conn0,C17,C,17,GND
Conn0,D17,D,17,S1_RX0P
Conn0,E17,E,17,GND
Conn0,F17,F,17,JTAG0 _TDI
Conn0,G17,G,17,GND
Conn0,H17,H,17,S2_TX15P
Conn0,J17,J,17,GND
Conn0,K17,K,17,S1_TX0P
Conn0,L17,L,17,GND
Conn0,A18,A,18,GND
Conn0,B18,B,18,S2_RX15N
Conn0,C18,C,18,GND
