connector,signal,pad_count
Conn0,GND,334
Conn0,P12V2,27
Conn0,P48V,16
Conn0,P12V1,5
Conn0,RFU,4
Conn0,DO_NOT_USE,4
Conn0,P3V3,2
Conn0,PVREF,2
Conn0,PERST#,1
Conn0,HOST_PWRGD,1
Conn0,WARMRST#,1
Conn0,MODULE_PWRGD,1
Conn0,MANF_MODE#,1
Conn0,PWRBRK#,1
Conn0,UART_TXD,1
Conn0,I2C_D,1
Conn0,SMBus_SLV_CLK,1
Conn0,SMBus_SLV_D,1
Conn0,FW_RECOVERY#,1
Conn0,TEST_MODE#,1
Conn0,UART_RXD,1
Conn0,I2C _CLK,1
Conn0,PRSNT0#,1
Conn0,SLV_ALERT#,1
Conn0,S1_RX15P,1
Conn0,S1_RX7P,1
Conn0,S1_TX15P,1
Conn0,S1_TX7P,1
Conn0,S1_RX15N,1
Conn0,S1_RX7N,1
Conn0,MODULE_ID[4],1
Conn0,S1_TX15N,1
Conn0,S1_TX7N,1
Conn0,S1_RX13P,1
Conn0,S1_RX14P,1
Conn0,S1_RX6P,1
Conn0,S1_TX13P,1
Conn0,S1_TX14P,1
Conn0,S1_TX6P,1
Conn0,S1_RX13N,1
Conn0,S1_RX14N,1
Conn0,S1_RX6N,1
Conn0,S1_TX13N,1
Conn0,S1_TX14N,1
Conn0,S1_TX6N,1
Conn0,S1_RX12P,1
Conn0,S1_RX5P,1
Conn0,MODULE_ID[3],1
Conn0,S1_TX12P,1
Conn0,S1_TX5P,1
Conn0,S1_RX12N,1
Conn0,S1_RX5N,1
Conn0,MODULE_ID[2],1
Conn0,S1_TX12N,1
Conn0,S1_TX5N,1
Conn0,S1_RX10P,1
Conn0,S1_RX11P,1
Conn0,S1_RX4P,1
Conn0,S1_TX10P,1
Conn0,S1_TX11P,1
Conn0,S1_TX4P,1
Conn0,S1_RX10N,1
Conn0,S1_RX11N,1
Conn0,S1_RX4N,1
Conn0,S1_TX10N,1
Conn0,S1_TX11N,1
Conn0,S1_TX4N,1
Conn0,S1_RX9P,1
Conn0,S1_RX3P,1
Conn0,MODULE_ID[1],1
Conn0,S1_TX9P,1
Conn0,S1_TX3P,1
Conn0,S1_RX9N,1
Conn0,S1_RX3N,1
Conn0,MODULE_ID[0],1
Conn0,S1_TX9N,1
Conn0,S1_TX3N,1
Conn0,S1_RX8P,1
Conn0,S1_RX1P,1
Conn0,S1_RX2P,1
Conn0,S1_TX8P,1
Conn0,S1_TX1P,1
Conn0,S1_TX2P,1
Conn0,S1_RX8N,1
Conn0,S1_RX1N,1
Conn0,S1_RX2N,1
Conn0,S1_TX8N,1
Conn0,S1_TX1N,1
Conn0,S1_TX2N,1
Conn0,S2_RX15P,1
Conn0,S1_RX0P,1
Conn0,JTAG0 _TDI,1
Conn0,S2_TX15P,1
Conn0,S1_TX0P,1
Conn0,S2_RX15N,1
Conn0,S1_RX0N,1
Conn0,JTAG0_TMS,1
Conn0,S2_TX15N,1
Conn0,S1_TX0N,1
Conn0,S2_RX13P,1
Conn0,S2_RX14P,1
Conn0,S2_RX7P,1
Conn0,S2_TX13P,1
Conn0,S2_TX14P,1
Conn0,S2_TX7P,1
Conn0,S2_RX13N,1
Conn0,S2_RX14N,1
Conn0,S2_RX7N,1
Conn0,S2_TX13N,1
Conn0,S2_TX14N,1
Conn0,S2_TX7N,1
Conn0,S2_RX12P,1
Conn0,S2_RX6P,1
Conn0,JTAG0_TCK,1
Conn0,S2_TX12P,1
Conn0,S2_TX6P,1
Conn0,S2_RX12N,1
Conn0,S2_RX6N,1
Conn0,JTAG0_TRST,1
Conn0,S2_TX12N,1
Conn0,S2_TX6N,1
Conn0,S2_RX11P,1
Conn0,S2_RX4P,1
Conn0,S2_RX5P,1
Conn0,S2_TX11P,1
Conn0,S2_TX4P,1
Conn0,S2_TX5P,1
Conn0,S2_RX11N,1
Conn0,S2_RX4N,1
Conn0,S2_RX5N,1
Conn0,S2_TX11N,1
Conn0,S2_TX4N,1
Conn0,S2_TX5N,1
Conn0,S2_RX10P,1
Conn0,S2_RX3P,1
Conn0,JTAG0_TDO,1
Conn0,S2_TX10P,1
Conn0,S2_TX3P,1
Conn0,S2_RX10N,1
Conn0,S2_RX3N,1
Conn0,TEST0,1
Conn0,S2_TX10N,1
Conn0,S2_TX3N,1
Conn0,S2_RX9P,1
Conn0,S2_RX1P,1
Conn0,S2_RX2P,1
Conn0,S2_TX9P,1
Conn0,S2_TX1P,1
Conn0,S2_TX2P,1
Conn0,S2_RX9N,1
Conn0,S2_RX1N,1
Conn0,S2_RX2N,1
Conn0,S2_TX9N,1
Conn0,S2_TX1N,1
Conn0,S2_TX2N,1
Conn0,S2_RX8P,1
Conn0,S2_RX0P,1
Conn0,TEST1,1
Conn0,S2_TX8P,1
Conn0,S2_TX0P,1
Conn0,S2_RX8N,1
Conn0,S2_RX0N,1
Conn0,TEST2,1
Conn0,S2_TX8N,1
Conn0,S2_TX0N,1
Conn0,S3_RX14P,1
Conn0,S3_RX15P,1
Conn0,S3_RX7P,1
Conn0,S3_TX14P,1
Conn0,S3_TX15P,1
Conn0,S3_TX7P,1
Conn0,S3_RX14N,1
Conn0,S3_RX15N,1
Conn0,S3_RX7N,1
Conn0,S3_TX14N,1
Conn0,S3_TX15N,1
Conn0,S3_TX7N,1
Conn0,S3_RX13P,1
Conn0,S3_RX6P,1
Conn0,TEST3,1
Conn0,S3_TX13P,1
Conn0,S3_TX6P,1
Conn0,S3_RX13N,1
Conn0,S3_RX6N,1
Conn0,TEST4,1
Conn0,S3_TX13N,1
Conn0,S3_TX6N,1
Conn0,S3_RX11P,1
Conn0,S3_RX12P,1
Conn0,S3_RX5P,1
Conn0,S3_TX12P,1
Conn0,S3_TX4P,1
Conn0,S3_TX5P,1
Conn0,S3_RX11N,1
Conn0,S3_RX12N,1
Conn0,S3_RX5N,1
Conn0,S3_TX12N,1
Conn0,S3_TX4N,1
Conn0,S3_TX5N,1
Conn0,S3_RX10P,1
Conn0,S3_RX4P,1
Conn0,TEST5,1
Conn0,S3_TX11P,1
Conn0,S3_TX3P,1
Conn0,S3_RX10N,1
Conn0,S3_RX4N,1
Conn0,TEST6,1
Conn0,S3_TX11N,1
Conn0,S3_TX3N,1
Conn0,S3_RX9P,1
Conn0,S3_RX2P,1
Conn0,S3_RX3P,1
Conn0,S3_TX10P,1
Conn0,S3_TX1P,1
Conn0,S3_TX2P,1
Conn0,S3_RX9N,1
Conn0,S3_RX2N,1
Conn0,S3_RX3N,1
Conn0,S3_TX10N,1
Conn0,S3_TX1N,1
Conn0,S3_TX2N,1
Conn0,S3_RX8P,1
Conn0,S3_RX1P,1
Conn0,TEST7,1
Conn0,S3_TX9P,1
Conn0,S3_TX0P,1
Conn0,S3_RX8N,1
Conn0,S3_RX1N,1
Conn0,TEST8,1
Conn0,S3_TX9N,1
Conn0,S3_TX0N,1
Conn0,PCIE_RX1P,1
Conn0,PCIE_RX0P,1
Conn0,S3_RX0P,1
Conn0,S3_TX8P,1
Conn0,PCIE_TX1P,1
Conn0,PCIE_TX0P,1
Conn0,PCIE_RX1N,1
Conn0,PCIE_RX0N,1
Conn0,S3_RX0N,1
Conn0,S3_TX8N,1
Conn0,PCIE_TX1N,1
Conn0,PCIE_TX0N,1
Conn0,PCIE_RX3P,1
Conn0,PCIE_RX2P,1
Conn0,PE_REFCLKP,1
Conn0,PCIE_TX3P,1
Conn0,PCIE_TX2P,1
Conn0,PCIE_RX3N,1
Conn0,PCIE_RX2N,1
Conn0,PE_REFCLKN,1
Conn0,PCIE_TX3N,1
Conn0,PCIE_TX2N,1
Conn0,PCIE_RX6P,1
Conn0,PCIE_RX5P,1
Conn0,PCIE_RX4P,1
Conn0,PCIE_TX6P,1
Conn0,PCIE_TX5P,1
Conn0,PCIE_TX4P,1
Conn0,PCIE_RX6N,1
Conn0,PCIE_RX5N,1
Conn0,PCIE_RX4N,1
Conn0,PCIE_TX6N,1
Conn0,PCIE_TX5N,1
Conn0,PCIE_TX4N,1
Conn0,PCIE_RX8P,1
Conn0,PCIE_RX7P,1
Conn0,TEST9,1
Conn0,PCIE_TX8P,1
Conn0,PCIE_TX7P,1
Conn0,PCIE_RX8N,1
Conn0,PCIE_RX7N,1
Conn0,PCIE_TX8N,1
Conn0,PCIE_TX7N,1
Conn0,PCIE_RX11P,1
Conn0,PCIE_RX10P,1
Conn0,PCIE_RX9P,1
Conn0,PCIE_TX11P,1
Conn0,PCIE_TX10P,1
Conn0,PCIE_TX9P,1
Conn0,PCIE_RX11N,1
Conn0,PCIE_RX10N,1
Conn0,PCIE_RX9N,1
Conn0,PCIE_TX11N,1
Conn0,PCIE_TX10N,1
Conn0,PCIE_TX9N,1
Conn0,PCIE_RX13P,1
Conn0,PCIE_RX12P,1
Conn0,PCIE_TX13P,1
Conn0,PCIE_TX12P,1
Conn0,PCIE_RX13N,1
Conn0,PCIE_RX12N,1
Conn0,PCIE_TX13N,1
Conn0,PCIE_TX12N,1
Conn0,PCIE_RX15P,1
Conn0,PCIE_RX14P,1
Conn0,PCIE_TX15P,1
Conn0,PCIE_TX14P,1
Conn0,PCIE_RX15N,1
Conn0,PCIE_RX14N,1
Conn0,PCIE_TX15N,1
Conn0,PCIE_TX14N,1
Conn1,GND,344
Conn1,RFU,35
Conn1,CONN1_MODPRS#,1
Conn1,CONN1_RESET#,1
Conn1,CONN1_YELLOW_LED,1
Conn1,CONN1_MODSEL#,1
Conn1,CONN1_GREEN_LED,1
Conn1,CONN2_INITMODE,1
Conn1,CONN1_INITMODE,1
Conn1,S7_TX15N,1
Conn1,CONN2_INT#,1
Conn1,CONN1_INT#,1
Conn1,S7_TX15P,1
Conn1,CONN2_MODPRS#,1
Conn1,S7_TX14N,1
Conn1,CONN2_MODSEL#,1
Conn1,S7_RX15N,1
Conn1,S7_TX14P,1
Conn1,CONN2_RESET#,1
Conn1,S7_RX15P,1
Conn1,S7_TX13N,1
Conn1,S7_RX13N,1
Conn1,S7_RX14N,1
Conn1,S7_TX13P,1
Conn1,S7_RX13P,1
Conn1,S7_RX14P,1
Conn1,S7_TX7N,1
Conn1,S7_TX12N,1
Conn1,CONN2_GREEN_LED,1
Conn1,S7_RX7N,1
Conn1,S7_RX12N,1
Conn1,S7_TX7P,1
Conn1,S7_TX12P,1
Conn1,CONN2_YELLOW_LED,1
Conn1,S7_RX7P,1
Conn1,S7_RX12P,1
Conn1,S7_TX5N,1
Conn1,S7_TX6N,1
Conn1,S7_TX11N,1
Conn1,S7_RX5N,1
Conn1,S7_RX6N,1
Conn1,S7_RX11N,1
Conn1,S7_TX5P,1
Conn1,S7_TX6P,1
Conn1,S7_TX11P,1
Conn1,S7_RX5P,1
Conn1,S7_RX6P,1
Conn1,S7_RX11P,1
Conn1,S7_TX4N,1
Conn1,S7_TX10N,1
